,id,shelf,shelf_name,division,book,book_name,page,path,formula,tabulated,num_n,num_k,wl_n_min,wl_n_max,wl_k_min,wl_k_max
39,39,main,MAIN - simple inorganic materials,As - Arsenides,InAs,InAs (Indium arsenide),Aspnes,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/InAs/Aspnes.yml,0,nk,46,46,0.2066,0.8266,0.2066,0.8266
40,40,main,MAIN - simple inorganic materials,As - Arsenides,InAs,InAs (Indium arsenide),Lorimor,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/InAs/Lorimor.yml,1,,0,0,3.7,31.3,0.0,inf
41,41,main,MAIN - simple inorganic materials,As - Arsenides,CdGeAs2,CdGeAs<sub>2</sub> (Cadmium germanium arsenide),Boyd-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/CdGeAs2/Boyd-o.yml,2,,0,0,2.4,11.5,0.0,inf
42,42,main,MAIN - simple inorganic materials,As - Arsenides,CdGeAs2,CdGeAs<sub>2</sub> (Cadmium germanium arsenide),Boyd-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/CdGeAs2/Boyd-e.yml,2,,0,0,2.4,11.5,0.0,inf
43,43,main,MAIN - simple inorganic materials,As - Arsenides,ZnSiAs2,ZnSiAs<sub>2</sub> (Zinc silicon arsenide),Boyd-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/ZnSiAs2/Boyd-o.yml,2,,0,0,0.7,11.5,0.0,inf
44,44,main,MAIN - simple inorganic materials,As - Arsenides,ZnSiAs2,ZnSiAs<sub>2</sub> (Zinc silicon arsenide),Boyd-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/ZnSiAs2/Boyd-e.yml,2,,0,0,0.7,11.5,0.0,inf
45,45,main,MAIN - simple inorganic materials,Au - Gold,Au,Au (Gold),Johnson,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Au/Johnson.yml,0,nk,49,49,0.1879,1.937,0.1879,1.937
46,46,main,MAIN - simple inorganic materials,Au - Gold,Au,Au (Gold),McPeak,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Au/McPeak.yml,0,nk,141,141,0.3,1.7,0.3,1.7
47,47,main,MAIN - simple inorganic materials,Au - Gold,Au,Au (Gold),Babar,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Au/Babar.yml,0,nk,69,69,0.2066,12.4,0.2066,12.4
48,48,main,MAIN - simple inorganic materials,Au - Gold,Au,Au (Gold),Lemarchand,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Au/Lemarchand-3.96nm.yml,0,nk,291,291,0.35,1.8,0.35,1.8
49,49,main,MAIN - simple inorganic materials,Au - Gold,Au,Au (Gold),Lemarchand,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Au/Lemarchand-4.62nm.yml,0,nk,291,291,0.35,1.8,0.35,1.8
50,50,main,MAIN - simple inorganic materials,Au - Gold,Au,Au (Gold),Lemarchand,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Au/Lemarchand-5.77nm.yml,0,nk,291,291,0.35,1.8,0.35,1.8
51,51,main,MAIN - simple inorganic materials,Au - Gold,Au,Au (Gold),Lemarchand,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Au/Lemarchand-11.7nm.yml,0,nk,291,291,0.35,1.8,0.35,1.8
52,52,main,MAIN - simple inorganic materials,Au - Gold,Au,Au (Gold),Olmon-ev,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Au/Olmon-ev.yml,0,nk,448,448,0.3,24.93,0.3,24.93
53,53,main,MAIN - simple inorganic materials,Au - Gold,Au,Au (Gold),Olmon-sc,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Au/Olmon-sc.yml,0,nk,448,448,0.3,24.93,0.3,24.93
54,54,main,MAIN - simple inorganic materials,Au - Gold,Au,Au (Gold),Olmon-ts,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Au/Olmon-ts.yml,0,nk,448,448,0.3,24.93,0.3,24.93
