id,shelf,shelf_name,division,book,book_name,section,page,path,formula,tabulated,num_n,num_k,wl_n_min,wl_n_max,wl_k_min,wl_k_max,wl_min,wl_max
51,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Liquid,Sinnock-liquid-88K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Sinnock-liquid-88K.yml,0,n,9,0,0.3612,0.6439,0.3612,0.6439,0.3612,0.6439
52,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Liquid,Sinnock-liquid-86K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Sinnock-liquid-86K.yml,0,n,9,0,0.3612,0.6439,0.3612,0.6439,0.3612,0.6439
53,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Liquid,Sinnock-liquid-83.81K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Sinnock-liquid-83.81K.yml,0,n,9,0,0.3612,0.6439,0.3612,0.6439,0.3612,0.6439
54,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Liquid,Grace-liquid-90K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Grace-liquid-90K.yml,1,f,0,0,0.117,0.66,0.117,0.66,0.117,0.66
55,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Liquid,Grace-liquid-83.81K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Grace-liquid-83.81K.yml,1,f,0,0,0.117,0.66,0.117,0.66,0.117,0.66
56,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Solid,Sinnock-solid-83.81K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Sinnock-solid-83.81K.yml,0,n,9,0,0.3612,0.6439,0.3612,0.6439,0.3612,0.6439
57,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Solid,Sinnock-solid-80K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Sinnock-solid-80K.yml,0,n,9,0,0.3612,0.6439,0.3612,0.6439,0.3612,0.6439
58,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Solid,Sinnock-solid-70K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Sinnock-solid-70K.yml,0,n,9,0,0.3612,0.6439,0.3612,0.6439,0.3612,0.6439
59,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Solid,Sinnock-solid-60K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Sinnock-solid-60K.yml,0,n,9,0,0.3612,0.6439,0.3612,0.6439,0.3612,0.6439
60,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Solid,Sinnock-solid-50K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Sinnock-solid-50K.yml,0,n,9,0,0.3612,0.6439,0.3612,0.6439,0.3612,0.6439
